PUBCHEM_CID,Activity_outcome,Canonical_SMILES
49790754,1,CC1=C(C=CC(=C1)OC)C2=C3C=COC3=C(C=C2)C(=O)NCC4=CC=NC=C4
3580213,1,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C(=S)N
575908,0,C1=CC=C(C=C1)N2C(=NN=N2)SC3=C(C=C(C=C3)[N+](=O)[O-])Cl
15055241,1,CC1(CC(=CC(=[N+]2CCCCC2)C1)N3CCCCC3)C.[I-]
373978,1,C1=C2C(=C(S1)C3C(C(C(O3)CO)O)O)N=CN=C2N
49786750,0,CC1(CC2=C(C=CN=C2O1)C3=CC(=CC=C3)C(=O)N)C(=O)NCC4=CC=CO4
11022589,1,CC(C)(C)C(=O)C(=CC1=CC=C(C=C1)Cl)N2C=NC=N2
425430,0,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C4=CC=CC=C43)C(=O)NC(CCC(=O)O)C(=O)O
3243848,0,CCCOC1=CC2=C(C=C1)OC(=O)C3=C2CCCN3C(=O)CN4CCN(CC4)C5=NC=CC=N5
53299589,0,CC(C1=CC=CC2=CC=CC=C21)NC(=O)C3=C(N=C4C=C(C(=CC4=C3)OC)OC)N
3136846,0,COC1=CC2=C(C=C1)NC(C3C2C=CC3)C4=CC5=C(C=C4Br)OCO5
9283,1,C1=CC=C(C=C1)C2=NN([N+](=N2)C3=CC=CC=C3)C4=CC=CC=C4.[Cl-]
1348232,1,COC1=CC=C(C=C1)C=C2C(=O)N(C(=O)S2)CCCC(=O)NC3=CC=C(C=C3)C(=O)O
16395151,1,CC12CCC3C(C1(CCC2C4=CC(=O)OC4)O)CCC5=CC(CCC35C=NO)O
16008920,1,COC1=CC2=NC3=C(C=C2C=C1)C(=NN3C(=O)C4=CC=CC=C4Cl)N
16405308,1,CCC(C)C(C(=O)O)NC(=O)CCCNC(=O)CCC(=O)OC1C(C2CCC(C3C24C(O1)OC(CC3)(OO4)C)C)C
529495,1,CC1=CC2C(CC1OC(=O)CC(C)C)(C3(C(C(C(C34CO4)O2)O)OC(=O)C)C)COC(=O)C
3551106,1,CC(C)(C)NC1=NC(=NC2=CC=CC=C21)C3=CC=CC=N3
228424,1,C1=CC=C(C=C1)NNC(=O)CN(CC(=O)NNC2=CC=CC=C2)N=O
3168431,0,CC1=C(C=CC=C1Cl)NC(=O)CSC2=NN=C(N2CC3CCCO3)C
24793139,1,CC1=C(SN=N1)C(=O)NC2CCCC3=C2C=NN3C4=CC=C(C=C4)C(C)(C)C
852715,0,CCC1=CC2=C(C=C1)OC(=C2C)C(=O)NCC3=CC=NC=C3
2997820,0,CC(C(=O)OCC(=O)NC1=CC2=C(C=C1)OCO2)N3C(=O)C4=CC=CC=C4C3=O
1091600,0,CC(C)C(=O)N1CCN(CC1)C2=CC=CC=C2NC(=O)C3=CC=C(O3)[N+](=O)[O-]
6602959,1,C1CCC2=C(C1)C(=N)C3=C(N2CC4=CC(=C(C=C4)Cl)Cl)CCC3.Cl
4254388,0,C1C2=CC=CC=C2C(=O)N1C(CC3=CC=C(C=C3)O)C(=O)NN
4156786,0,CC1=CC(=CC=C1)CN2C(=O)CSC3=C2C=C(C=C3)C(=O)NC4CC4
16746116,1,CCC(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=CC=C3)Cl
2110030,1,CC1=C(NC(=C1C(=O)C)C)C(=O)OCC2=CC=C(O2)C(=O)OC
1236024,1,CCOC1=CC=C(C=C1)C(=O)NC2=CN(N=C2)CC3=CC(=C(C=C3)Cl)Cl
5719791,0,C1C(OC2=CC=CC=C2O1)C(=O)NN=CC3=CC=C(O3)[N+](=O)[O-]
16832497,0,C1COC2=C(O1)C=CC(=C2)NC(=O)CSC3=NN=C(O3)CNC(=O)C4=C(C=CC=C4F)F
649940,0,COC1=C(C=C(C=C1)CCNC(=O)CSC2=NN=C(O2)CNC3=CC=C(C=C3)Cl)OC
2616433,0,CC1=CC(=C(C=C1)SCC(=O)NC2=CC=C(C=C2)N3CCOCC3)C
6514881,1,CCN(CC)CC(C)(C)C(=O)C=CC1=CC=C(C=C1)C=CC(=O)C(C)(C)CN(CC)CC.Br
866500,0,CN(C1CCCCC1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)OC
49792229,1,CN1C(=O)C2=C(N1CC3=CC(=CC=C3)C(F)(F)F)C=CC(=C2)NC(=O)CCC4=CC=C(C=C4)O
49778412,0,CC(=O)C1=CC=C(C=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CN=C(C=C4)OC
49790430,0,CC(C)NC1=NC2=C(C(=N1)NC3=CC=CC(=C3)C#C)SC=C2
3220834,0,COCC(=O)NC1CCN(CC1)CC(=O)NC2=C(C=C(C=C2)OC)[N+](=O)[O-]
3534903,1,CC1CCC2=C(C1)SC(=C2C(=O)O)NC(=O)C3=CC=C(O3)C
12004631,1,CC(C)C1=C2C(C3C4C(CC(C(C4(C2=CC(=O)O1)C)O)O)(C(=O)O3)C)O
6868549,0,CC1=CC2=C(C=C1C)N(C=N2)N=CC3=CC=C(S3)[N+](=O)[O-]
16238264,1,CCOC1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C)CCC3=CC(=C(C=C3)OC)OC)C4=CC=C(C=C4)OCC.[O-]Cl(=O)(=O)=O
